robax_1,robax_2,robax_3,robax_4,robax_5,robax_6,extax_1,extax_2,extax_3,extax_4,extax_5,extax_6
-5.67211e-07,-0.00039137647,-0.00058452325,0.040169913,6.2530766e-05,8.7602395e-08,0,0,0,0,0,0
-5.67211e-07,-0.00039137647,-0.00058452325,0.040169913,6.2530766e-05,8.7602395e-08,0,0,0,0,0,0
-5.67211e-07,-0.00039137647,-0.00058452325,0.040169913,6.2530766e-05,8.7602395e-08,0,0,0,0,0,0
-5.67211e-07,-0.00039137647,-0.00058452325,0.040169913,6.2530766e-05,8.7602395e-08,0,0,0,0,0,0
-0.23741293,-0.13274807,-0.109641045,0.006410975,0.029288856,-0.17426497,0,0,0,0,0,0
-0.6054022,-0.33790097,-0.27867866,-0.045915388,0.07458967,-0.44437584,0,0,0,0,0,0
-0.97339123,-0.5430538,-0.44771627,-0.09824173,0.11989047,-0.7144866,0,0,0,0,0,0
-1.4518417,-0.80183315,-0.6620565,-0.16467497,0.18168786,-1.0687722,0,0,0,0,0,0
-2.2003076,-1.191699,-0.9871361,-0.2655916,0.28381014,-1.6288173,0,0,0,0,0,0
-2.9487734,-1.5815649,-1.3122159,-0.36650822,0.38593242,-2.1888626,0,0,0,0,0,0
-3.69724,-1.9714311,-1.6372958,-0.46742493,0.4880548,-2.748908,0,0,0,0,0,0
-4.758029,-2.4900646,-2.0720198,-0.60057884,0.6456254,-3.5523121,0,0,0,0,0,0
-5.840357,-3.0175786,-2.5143049,-0.735956,0.80702,-4.3725,0,0,0,0,0,0
-6.922685,-3.5450928,-2.9565902,-0.8713331,0.9684146,-5.1926875,0,0,0,0,0,0
-8.169869,-4.1353283,-3.451144,-1.0198145,1.1634625,-6.1412344,0,0,0,0,0,0
-9.536116,-4.7708626,-3.983446,-1.17776,1.3828158,-7.1824856,0,0,0,0,0,0
-10.902359,-5.406396,-4.5157475,-1.3357053,1.6021686,-8.223735,0,0,0,0,0,0
-12.32217,-6.0595584,-5.0620656,-1.4961545,1.8346504,-9.306508,0,0,0,0,0,0
-13.925625,-6.7731605,-5.6564355,-1.6651878,2.1121445,-10.531636,0,0,0,0,0,0
-15.529081,-7.486764,-6.250806,-1.8342216,2.389639,-11.756766,0,0,0,0,0,0
-17.132538,-8.200367,-6.845176,-2.0032554,2.6671333,-12.981896,0,0,0,0,0,0
-18.906435,-8.956221,-7.4746017,-2.178208,2.9961355,-14.337246,0,0,0,0,0,0
-20.705585,-9.718336,-8.109221,-2.354038,3.3327694,-15.711889,0,0,0,0,0,0
-22.504738,-10.480451,-8.74384,-2.529868,3.6694028,-17.086533,0,0,0,0,0,0
-24.380318,-11.246468,-9.383731,-2.7095504,4.037055,-18.51459,0,0,0,0,0,0
-26.327559,-12.016147,-10.028563,-2.8928454,4.4337873,-19.992723,0,0,0,0,0,0
-28.274794,-12.785823,-10.673394,-3.07614,4.830519,-21.470856,0,0,0,0,0,0
-30.237907,-13.551307,-11.315338,-3.2604163,5.237685,-22.959436,0,0,0,0,0,0
-32.283554,-14.294967,-11.942254,-3.4497955,5.6991,-24.50233,0,0,0,0,0,0
-34.329197,-15.038626,-12.56917,-3.6391745,6.160515,-26.045221,0,0,0,0,0,0
-36.37485,-15.782289,-13.196086,-3.828554,6.621931,-27.588118,0,0,0,0,0,0
-38.464867,-16.479967,-13.782572,-4.023649,7.1437664,-29.161085,0,0,0,0,0,0
-40.56554,-17.16661,-14.359352,-4.220116,7.680101,-30.741272,0,0,0,0,0,0
-42.66621,-17.853252,-14.936134,-4.416583,8.216436,-32.321457,0,0,0,0,0,0
-44.775417,-18.507538,-15.482402,-4.6149983,8.789462,-33.9129,0,0,0,0,0,0
-46.894985,-19.12252,-15.991618,-4.8157783,9.407034,-35.517986,0,0,0,0,0,0
-49.014553,-19.737505,-16.500835,-5.0165577,10.024606,-37.123077,0,0,0,0,0,0
-51.13229,-20.343178,-17.001223,-5.2177305,10.650453,-38.72857,0,0,0,0,0,0
-53.232853,-20.86192,-17.41922,-5.422568,11.35351,-40.337692,0,0,0,0,0,0
-55.333416,-21.380663,-17.83722,-5.6274056,12.056565,-41.94682,0,0,0,0,0,0
-57.433987,-21.899406,-18.255219,-5.832244,12.7596245,-43.555954,0,0,0,0,0,0
-59.49216,-22.334146,-18.596046,-6.0323396,13.527572,-45.156754,0,0,0,0,0,0
-61.535587,-22.739668,-18.910034,-6.2307863,14.3180895,-46.75466,0,0,0,0,0,0
-63.57903,-23.145191,-19.22402,-6.429233,15.10861,-48.352573,0,0,0,0,0,0
-65.584984,-23.497755,-19.487438,-6.6191816,15.938136,-49.94129,0,0,0,0,0,0
-67.53162,-23.766468,-19.670786,-6.795675,16.829424,-51.51546,0,0,0,0,0,0
-69.47824,-24.035183,-19.854136,-6.972168,17.720716,-53.08964,0,0,0,0,0,0
-71.42091,-24.299055,-20.032806,-7.147551,18.6155,-54.66282,0,0,0,0,0,0
-73.24487,-24.417698,-20.071203,-7.2896333,19.615103,-56.20616,0,0,0,0,0,0
-75.06883,-24.536343,-20.109598,-7.431717,20.614712,-57.74951,0,0,0,0,0,0
-76.8928,-24.654987,-20.147995,-7.573798,21.614317,-59.292854,0,0,0,0,0,0
-78.61573,-24.666975,-20.077774,-7.689324,22.687557,-60.803085,0,0,0,0,0,0
-80.29055,-24.628176,-19.955828,-7.792203,23.795862,-62.29754,0,0,0,0,0,0
-81.96538,-24.589375,-19.833883,-7.8950825,24.904171,-63.791996,0,0,0,0,0,0
-83.58463,-24.49867,-19.657677,-7.9840636,26.044952,-65.266136,0,0,0,0,0,0
-85.08718,-24.298973,-19.367523,-8.0438595,27.253918,-66.69762,0,0,0,0,0,0
-86.58972,-24.099277,-19.077372,-8.103655,28.462885,-68.1291,0,0,0,0,0,0
-88.09226,-23.89958,-18.787218,-8.163452,29.67185,-69.56058,0,0,0,0,0,0
-89.38958,-23.543644,-18.3186,-8.164571,30.974615,-70.92173,0,0,0,0,0,0
-90.68004,-23.182497,-17.84403,-8.163735,32.280506,-72.28055,0,0,0,0,0,0
-91.970505,-22.821352,-17.36946,-8.162899,33.586407,-73.63937,0,0,0,0,0,0
-93.10488,-22.362219,-16.775131,-8.110179,34.95009,-74.94732,0,0,0,0,0,0
-94.14066,-21.8412,-16.10517,-8.024692,36.350273,-76.22314,0,0,0,0,0,0
-95.176445,-21.32018,-15.435204,-7.939204,37.750454,-77.49896,0,0,0,0,0,0
-96.150734,-20.764694,-14.723982,-7.8338475,39.165855,-78.752106,0,0,0,0,0,0
-96.9482,-20.110115,-13.894141,-7.671371,40.62502,-79.94004,0,0,0,0,0,0
-97.745674,-19.455534,-13.064301,-7.5088935,42.084183,-81.12797,0,0,0,0,0,0
-98.543144,-18.800947,-12.234454,-7.3464155,43.543358,-82.31591,0,0,0,0,0,0
-99.147354,-18.05306,-11.302736,-7.1257606,45.02351,-83.42156,0,0,0,0,0,0
-99.73087,-17.295176,-10.360103,-6.898874,46.50591,-84.51839,0,0,0,0,0,0
-100.314384,-16.53729,-9.41747,-6.6719866,47.988308,-85.61522,0,0,0,0,0,0
-100.80162,-15.737238,-8.437945,-6.419033,49.461704,-86.66829,0,0,0,0,0,0
-101.20956,-14.902457,-7.4280376,-6.1446137,50.927692,-87.68533,0,0,0,0,0,0
-101.61751,-14.067671,-6.4181237,-5.870192,52.39369,-88.70238,0,0,0,0,0,0
-101.99693,-13.224506,-5.404039,-5.589502,53.849167,-89.70385,0,0,0,0,0,0
-102.25749,-12.346412,-4.372552,-5.2826853,55.260876,-90.64043,0,0,0,0,0,0
-102.51807,-11.468315,-3.3410652,-4.9758687,56.67258,-91.576996,0,0,0,0,0,0
-102.77864,-10.590219,-2.309578,-4.669052,58.084286,-92.51357,0,0,0,0,0,0
-102.94505,-9.709313,-1.2965734,-4.3542323,59.413284,-93.37399,0,0,0,0,0,0
-103.093376,-8.82786,-0.28711653,-4.0378714,60.726383,-94.219765,0,0,0,0,0,0
-103.24169,-7.946414,0.72233385,-3.7215126,62.03947,-95.06553,0,0,0,0,0,0
-103.34827,-7.0831566,1.7030934,-3.4102774,63.2873,-95.85718,0,0,0,0,0,0
-103.41034,-6.2393003,2.6532497,-3.104508,64.46551,-96.59109,0,0,0,0,0,0
-103.4724,-5.395444,3.6034062,-2.7987385,65.64372,-97.325005,0,0,0,0,0,0
-103.52704,-4.562086,4.540698,-2.496839,66.800156,-98.043144,0,0,0,0,0,0
-103.53161,-3.7995956,5.391152,-2.2210627,67.809616,-98.6548,0,0,0,0,0,0
-103.53618,-3.0370994,6.241612,-1.945285,68.819084,-99.266464,0,0,0,0,0,0
-103.54074,-2.2746084,7.092066,-1.6695087,69.828545,-99.87813,0,0,0,0,0,0
-103.521164,-1.6114248,7.825811,-1.4302652,70.677765,-100.38514,0,0,0,0,0,0
-103.49455,-0.97720534,8.525515,-1.2016771,71.48024,-100.86163,0,0,0,0,0,0
-103.46793,-0.342986,9.22522,-0.9730888,72.28273,-101.33812,0,0,0,0,0,0
-103.435036,0.2174687,9.840154,-0.77088064,72.981224,-101.74982,0,0,0,0,0,0
-103.39345,0.6757908,10.337718,-0.60519785,73.53574,-102.0718,0,0,0,0,0,0
-103.35186,1.13411,10.835277,-0.43951613,74.09027,-102.39379,0,0,0,0,0,0
-103.311,1.5779544,11.31676,-0.2790623,74.626495,-102.70492,0,0,0,0,0,0
-103.2806,1.8119285,11.565133,-0.19441003,74.897545,-102.85862,0,0,0,0,0,0
-103.250206,2.0459025,11.813506,-0.10975773,75.168594,-103.01232,0,0,0,0,0,0
-103.21982,2.2798765,12.06188,-0.025105422,75.439644,-103.16602,0,0,0,0,0,0
-103.211,2.3478043,12.133989,-0.0005289663,75.51834,-103.21065,0,0,0,0,0,0
-103.211,2.3478043,12.133989,-0.0005289663,75.51834,-103.21065,0,0,0,0,0,0
-103.211,2.3478043,12.133989,-0.0005289663,75.51834,-103.21065,0,0,0,0,0,0
-103.211,2.3478043,12.133989,-0.0005289663,75.51834,-103.21065,0,0,0,0,0,0
-103.211,2.3478043,12.133989,-0.0005289663,75.51834,-103.21065,0,0,0,0,0,0
-103.211,2.3478043,12.133989,-0.0005289663,75.51834,-103.21065,0,0,0,0,0,0
